,Date,predicted
0,2023-11-16,[41301.17]
1,2023-11-17,[40488.438]
2,2023-11-20,[41127.773]
3,2023-11-21,[41253.133]
4,2023-11-22,[41409.035]
5,2023-11-23,[41792.61]
6,2023-11-24,[41890.855]
7,2023-11-27,[42078.293]
8,2023-11-28,[41973.242]
9,2023-11-29,[42338.887]
10,2023-11-30,[42568.67]
11,2023-12-01,[42689.074]
12,2023-12-04,[42597.523]
13,2023-12-05,[40648.027]
14,2023-12-06,[41170.188]
15,2023-12-07,[41429.82]
16,2023-12-08,[42067.55]
17,2023-12-11,[42352.13]
18,2023-12-12,[42465.383]
19,2023-12-13,[42589.71]
20,2023-12-14,[42631.164]
21,2023-12-15,[42825.6]
22,2023-12-18,[43353.77]
23,2023-12-19,[43196.203]
24,2023-12-20,[43351.88]
25,2023-12-21,[43315.258]
26,2023-12-22,[43393.914]
27,2023-12-25,[43510.87]
28,2023-12-26,[43716.348]
29,2023-12-27,[43911.137]
30,2023-12-28,[44962.434]
31,2023-12-29,[45990.785]
32,2024-01-02,[46721.453]
33,2024-01-03,[47347.07]
34,2024-01-04,[47877.164]
35,2024-01-05,[48297.742]
36,2024-01-08,[48605.125]
37,2024-01-09,[48845.832]
38,2024-01-10,[48962.992]
39,2024-01-11,[49043.906]
40,2024-01-12,[49100.55]
41,2024-01-15,[49212.223]
42,2024-01-16,[49198.457]
43,2024-01-17,[49096.098]
44,2024-01-18,[48990.734]
45,2024-01-19,[48814.934]
46,2024-01-22,[48505.93]
47,2024-01-23,[48649.11]
48,2024-01-24,[48724.64]
49,2024-01-25,[48774.855]
50,2024-01-26,[48834.08]
51,2024-01-29,[48984.664]
52,2024-01-30,[49084.418]
53,2024-01-31,[49070.285]
54,2024-02-01,[49018.78]
55,2024-02-02,[48933.84]
56,2024-02-05,[48534.35]
57,2024-02-06,[48276.89]
58,2024-02-07,[48348.434]
59,2024-02-15,[48651.9]
60,2024-02-16,[48946.207]
61,2024-02-19,[49156.12]
62,2024-02-20,[49334.676]
63,2024-02-21,[49490.688]
64,2024-02-22,[49605.883]
65,2024-02-23,[49588.82]
66,2024-02-26,[49436.625]
67,2024-02-27,[49173.527]
68,2024-02-28,[49052.95]
69,2024-02-29,[49100.48]
70,2024-03-01,[49085.355]
71,2024-03-04,[49175.637]
72,2024-03-05,[49204.35]
73,2024-03-06,[49187.88]
74,2024-03-07,[49152.164]
75,2024-03-08,[49022.934]
76,2024-03-11,[49152.41]
77,2024-03-12,[49205.855]
78,2024-03-13,[49284.59]
79,2024-03-14,[49351.58]
80,2024-03-15,[49125.67]
81,2024-03-18,[48950.652]
82,2024-03-19,[48750.6]
83,2024-03-20,[48479.746]
84,2024-03-21,[48442.74]
85,2024-03-22,[48298.41]
86,2024-03-25,[47965.195]
87,2024-03-26,[47615.227]
88,2024-03-27,[48148.805]
89,2024-03-28,[48729.08]
90,2024-03-29,[48796.094]
91,2024-04-01,[48931.523]
92,2024-04-02,[48656.18]
93,2024-04-03,[48436.72]
94,2024-04-04,[48296.664]
95,2024-04-05,[48009.617]
96,2024-04-08,[47557.633]
97,2024-04-09,[47198.]
98,2024-04-10,[47004.816]
99,2024-04-11,[46859.727]
100,2024-04-12,[46880.832]
101,2024-04-15,[46940.883]
102,2024-04-16,[46804.984]
103,2024-04-17,[47426.484]
104,2024-04-19,[47557.41]
105,2024-04-22,[47545.797]
106,2024-04-23,[47376.043]
107,2024-04-24,[47158.27]
108,2024-04-25,[46997.465]
109,2024-04-26,[46818.14]
110,2024-05-02,[46627.547]
111,2024-05-03,[46418.008]
112,2024-05-06,[46296.438]
113,2024-05-07,[47272.98]
114,2024-05-08,[47933.312]
115,2024-05-09,[48009.56]
116,2024-05-10,[47747.18]
117,2024-05-13,[47333.633]
118,2024-05-14,[47132.617]
119,2024-05-15,[46929.477]
120,2024-05-16,[46282.92]
121,2024-05-17,[46434.473]
